"","mRNA_wt_rep1","mRNA_wt_rep2","mRNA_mt_rep1","mRNA_mt_rep2","Ribo_wt_rep1","Ribo_wt_rep2","Ribo_mt_rep1","Ribo_mt_rep2","gene_length"
"YNL149C",424,356,156,114,1529,1390,249,155,330
"YNL148C",145,118,103,59,511,381,141,101,705
"YNL146C-A",93,70,155,78,32,29,49,52,135
"YNL144C",52,46,19,22,54,64,11,30,2163
"YNL143C",169,157,118,89,285,306,191,237,333
"YNL139C",2044,1346,1036,758,2254,2125,552,483,4734
"YNL137C",1307,981,608,380,3505,3075,629,529,1401
"YNL135C",2967,1818,1238,696,14949,12221,4011,3136,285
"YNL134C",2199,1657,637,876,12842,11467,2330,3202,1071
"YNL133C",150,139,186,179,657,725,306,361,462
"YNL130C",2626,1629,1215,658,4921,4506,1234,1106,1214
"YNL130C-A",7,4,10,4,9,1,9,6,87
"YNL125C",1070,681,634,652,1005,886,414,438,1962
"YNL122C",258,212,158,89,1156,1246,366,413,288
"YNL121C",2722,2061,955,710,8204,7724,1404,1086,1794
"YNL118C",2259,1689,1637,1354,3324,3342,1309,1335,2853
"YNL115C",1321,1113,787,918,2866,2844,915,1156,1875
"YNL114C",6,8,10,6,6,5,6,13,312
"YNL111C",2889,1949,1802,891,8590,7881,3622,2634,303
"YNL110C",501,392,415,298,1855,1697,771,776,603
"YNL108C",466,418,221,158,2084,1866,430,411,753
"YNL106C",649,459,242,277,731,835,182,172,3492
"YNL104C",3876,2680,1885,1567,12764,11175,3068,2567,1800
"YNL099C",472,346,230,211,1109,1069,457,504,657
"YNL098C",1870,1522,867,877,10924,11258,2068,2542,909
"YNL097C-B",206,115,138,86,143,179,229,263,63
"YNL097C",211,174,154,160,713,787,468,588,933
"YNL096C",6910,4303,4640,3253,29287,24974,12474,10637,858
"YNL095C",212,92,83,60,190,148,45,54,1869
"YNL084C",1150,979,838,665,4416,4723,1429,1717,990
"YNL081C",524,412,257,224,2084,2425,632,646,372
"YNL080C",665,411,295,277,723,567,322,322,1041
"YNL079C",2278,2005,1394,1048,16738,17409,4376,3925,540
"YNL074C",1173,783,615,706,4856,5227,1668,2037,1299
"YNL069C",11592,6593,9142,5483,42068,33217,21939,17318,986
"YNL068C",742,505,530,484,1193,1287,445,448,2529
"YNL064C",7564,5600,1188,1004,51892,45807,3099,2617,1170
"YNL062C",877,570,418,280,1790,1728,565,487,1377
"YNL059C",965,719,507,498,1400,1462,493,551,2208
"YNL058C",536,408,432,376,2224,2238,1267,1222,891
"YNL055C",8132,5328,3839,3425,48423,44015,15006,14496,792
"YNL050C",241,225,258,213,730,740,360,391,844
"YNL049C",2042,1310,579,451,2065,1995,353,276,2571
"YNL047C",548,399,294,224,567,600,230,186,1911
"YNL043C",22,8,26,13,5,17,10,16,261
"YNL041C",1264,933,716,529,1640,1542,465,416,2460
"YNL037C",3141,2481,2338,1897,13024,13862,4692,4871,1023
"YNL035C",625,413,326,225,1059,915,316,286,1110
"YNL031C",4436,2937,4287,3332,14982,14627,8493,10394,351
"YNL029C",406,333,378,337,315,322,163,190,1509
"YNL025C",468,331,361,333,421,410,186,199,912
"YNL024C-A",721,496,496,299,1893,1524,857,843,159
"YNL024C",59,48,25,18,68,51,16,16,681
"YNL023C",763,472,221,197,999,803,169,85,2838
"YNL022C",557,418,339,272,891,857,326,312,1413
"YNL020C",489,336,286,264,747,813,249,275,1857
"YNL019C",19,14,5,7,42,28,18,9,795
"YNL011C",627,473,517,393,533,542,327,451,1275
"YNL008C",964,695,645,439,783,761,338,323,1971
"YNL007C",4851,4179,897,968,46313,41357,2920,4218,999
"YNL005C",788,626,419,328,2284,2326,429,368,1056
"YNL003C",531,377,379,304,707,726,344,401,795
"YNL002C",996,790,810,515,3080,2474,991,678,909
"YNR001C",3623,3226,2667,2500,11225,13245,3269,4488,1380
"YNR002C",70,53,78,84,101,106,123,155,789
"YNR003C",351,210,234,172,962,837,322,255,894
"YNR007C",440,301,277,267,1058,1173,396,575,873
"YNR011C",632,461,313,260,852,841,256,236,2571
"YNR013C",2027,1263,1333,1171,3893,3732,1753,1448,2625
"YNR016C",17092,10536,3366,2800,26751,21298,1665,895,6642
"YNR020C",184,135,136,91,736,829,178,153,753
"YNR022C",327,282,136,105,1834,1725,371,339,360
"YNR025C",90,48,40,23,6,10,7,6,300
"YNR026C",1007,746,497,390,3399,3390,800,839,1356
"YNR029C",394,357,289,275,991,805,441,353,1230
"YNR031C",1908,1302,908,637,1261,1090,183,159,4680
