"","mRNA_wt_rep1","mRNA_wt_rep2","mRNA_mt_rep1","mRNA_mt_rep2","Ribo_wt_rep1","Ribo_wt_rep2","Ribo_mt_rep1","Ribo_mt_rep2","gene_length"
"YIL079C",390,271,233,176,740,672,209,180,1023
"YIL077C",271,203,267,304,376,303,302,322,903
"YIL075C",6423,4962,2205,1691,13843,13976,2375,1905,2778
"YIL074C",1143,751,543,399,2972,2899,520,510,1350
"YIL073C",191,185,229,194,185,198,155,132,2958
"YIL071C",487,339,355,271,262,272,174,205,1275
"YIL070C",1008,723,250,185,4946,4499,494,465,741
"YIL069C",4751,3592,4424,3080,40244,32972,18257,15142,757
"YIL068C",1148,822,643,584,1094,1185,506,488,2358
"YIL067C",549,382,221,157,548,508,164,164,1977
"YIL066C",186,143,60,92,217,210,46,33,2550
"YIL065C",310,229,253,231,2382,2391,1097,1276,408
"YIL063C",585,476,423,418,2634,2557,968,1106,924
"YIL062C",1066,821,822,707,6245,6155,3169,3712,405
"YIL061C",178,115,70,54,615,558,172,173,843
"YIL059C",329,257,312,216,172,177,195,287,306
"YIL057C",5,5,3,0,19,37,0,10,435
"YIL055C",505,441,412,537,1594,1582,577,817,1824
"YIL052C",5257,3353,4387,3200,32175,27655,19231,17744,778
"YIL051C",3795,2514,3492,2252,25543,22158,13721,13699,378
"YIL047C",2737,1662,1887,1369,1682,1518,699,505,2649
"YIL044C",723,444,364,348,2254,2001,631,570,837
"YIL043C",1575,991,750,631,4068,3029,1931,1484,795
"YIL042C",351,201,188,165,538,486,280,232,1125
"YIL038C",1523,1148,833,705,4110,3925,1148,1055,2451
"YIL037C",24,22,18,8,14,23,2,9,1911
"YIL035C",1183,927,880,621,1850,1860,667,670,1059
"YIL034C",1184,850,848,827,4064,4449,2037,2180,804
"YIL033C",2021,1546,944,1032,10500,10457,3214,4321,1191
"YIL030C",3104,2064,1008,661,3984,3365,527,377,3900
"YIL029C",211,103,243,241,58,77,118,241,369
"YIL027C",539,350,352,235,1446,1203,776,751,366
"YIL026C",968,538,345,221,1112,878,203,157,3393
"YIL023C",673,433,508,508,1063,1022,543,617,981
"YIL020C",292,210,221,165,1041,1012,388,368,726
"YIL017C",760,590,690,643,509,601,283,353,2706
"YIL014C-A",281,203,148,69,521,494,286,241,255
"YIL013C",608,396,366,345,325,276,143,131,4176
"YIL009C-A",316,202,232,165,692,730,315,309,487
"YIL007C",291,218,267,215,824,832,441,533,603
"YIL004C",264,200,148,130,829,787,319,256,500
"YIL002C",898,676,447,385,642,676,276,309,2781
"YIR001C",477,318,283,205,1606,1623,535,506,693
"YIR002C",1131,810,480,440,920,897,221,235,2922
"YIR006C",5181,3645,1563,1436,18114,15793,2274,1962,4383
"YIR008C",532,403,274,244,1194,1036,289,286,1170
"YIR011C",711,493,517,481,1712,1825,786,878,900
"YIR013C",5,10,4,12,4,8,3,2,306
"YIR017C",78,58,99,112,141,141,101,162,504
"YIR018C-A",197,159,474,426,49,61,234,325,78
"YIR019C",41262,24213,6477,7578,254824,240187,23457,17426,4044
"YIR020C",206,119,168,129,12,9,8,15,243
"YIR024C",200,171,140,94,581,733,259,272,591
"YIR026C",251,145,152,138,400,357,279,186,1035
"YIR027C",123,70,43,37,145,98,54,91,1323
"YIR030C",142,144,67,39,267,222,84,73,675
"YIR031C",557,392,407,373,143,129,102,143,1605
"YIR032C",163,95,89,98,276,283,90,117,528
"YIR034C",1514,994,766,572,8971,8211,2046,2115,1062
"YIR035C",372,285,203,214,1090,895,177,119,705
"YIR036C",631,472,353,348,2923,2707,1085,1215,732
"YIR038C",1500,990,1406,1070,4700,4636,3430,3348,645
"YIR039C",515,360,493,612,789,883,218,413,1554
"YIR042C",90,74,77,71,141,140,94,115,651
"YIL162W",888,535,257,212,1470,1670,223,247,1539
"YIL161W",185,146,164,146,509,600,303,302,648
"YIL159W",925,639,442,253,516,433,150,84,4068
"YIL158W",246,118,64,31,332,228,108,55,555
"YIL156W-B",309,246,191,173,1995,1917,868,902,224
"YIL156W",817,582,427,371,603,507,178,157,3156
"YIL153W",336,226,151,134,728,722,175,179,1122
"YIL152W",159,95,106,98,379,361,202,308,648
"YIL148W",8905,5264,6454,4226,48996,40562,25667,22523,761
"YIL144W",727,569,618,485,785,858,336,349,2016
"YIL142W",2426,1737,875,695,8084,7507,1591,1295,1524
"YIL140W",1662,983,466,267,3289,2578,405,297,2412
"YIL136W",616,589,357,552,7216,7984,2045,3896,1122
"YIL134W",251,211,121,111,254,177,78,87,876
"YIL130W",1400,988,1067,801,1130,1032,691,629,2835
"YIL128W",1423,1018,867,514,2123,1997,423,288,3039
"YIL126W",2027,1519,992,770,2478,2155,660,497,4020
"YIL125W",3550,2566,1684,1453,6309,5895,1434,1342,2985
"YIL124W",1719,1540,1183,981,6803,6665,2114,2396,834
"YIL123W",3616,1961,1316,854,11158,7446,1890,865,1371
"YIL122W",180,148,127,177,330,374,106,159,996
"YIL121W",856,496,825,630,794,722,262,211,1569
"YIL120W",129,89,97,79,108,117,70,107,1632
"YIL118W",867,606,555,395,2163,1886,658,621,636
"YIL116W",736,576,380,331,4622,4298,1102,1200,1098
"YIL113W",145,123,202,323,449,485,305,553,570
"YIL112W",710,509,339,309,1254,1175,286,313,3192
"YIL111W",233,186,269,275,806,942,783,1060,484
"YIL110W",458,293,344,221,677,587,343,298,1074
"YIL108W",1207,868,464,554,2970,3069,843,827,2031
"YIL106W",351,265,270,207,1337,1328,560,628,970
"YIL103W",352,239,239,132,648,569,215,134,1218
"YIL100W",54,39,15,23,14,16,31,44,294
"YIL099W",46,47,58,85,153,164,94,155,1590
"YIL097W",499,358,504,505,565,626,375,537,1491
"YIL095W",571,370,317,274,1077,1019,304,317,2373
"YIL092W",209,186,182,123,182,171,80,89,1842
"YIL090W",1147,712,850,564,833,701,627,596,1416
"YIL089W",135,65,68,32,253,229,74,83,558
"YIL078W",6333,4296,2829,1966,18307,14059,3432,2706,2145
"YIL076W",1290,1023,800,654,3833,3904,1162,1324,831
"YIL066W-A",2,0,0,2,0,0,0,1,384
"YIL064W",197,150,141,77,684,596,267,224,714
"YIL056W",559,312,374,349,642,712,278,470,1863
"YIL054W",2,9,5,4,6,3,2,5,258
"YIL053W",6010,4126,2640,1805,23965,23585,6376,4633,693
"YIL050W",449,261,359,296,884,828,509,693,798
"YIL049W",389,239,267,157,442,446,282,355,702
"YIL048W",2099,1413,1024,705,1722,1807,606,596,3396
"YIL046W-A",12,13,11,13,14,25,55,44,105
"YIL046W",701,434,410,361,727,636,314,338,1863
"YIL045W",258,183,113,149,532,531,181,286,1557
"YIL041W",2156,1384,790,740,10045,9653,2582,2261,921
"YIL040W",476,304,313,145,1193,1168,463,438,357
"YIL039W",1368,937,621,417,2216,2093,591,526,1362
"YIL036W",1123,903,666,767,3061,2957,943,1058,1704
"YIL031W",1043,679,637,463,469,492,261,286,3045
"YIL028W",219,158,199,204,77,78,113,165,339
"YIL022W",1273,936,495,455,4965,4843,1115,1009,1236
"YIL021W",967,724,441,407,2518,2498,594,553,897
"YIL019W",175,96,133,78,464,359,160,115,981
"YIL018W",14413,8736,10712,7672,66036,48817,29613,23491,1105
"YIL016W",245,136,139,159,593,523,308,274,420
"YIL015W",3132,1838,2269,1462,5878,4987,1748,1173,1704
"YIL014W",938,613,535,404,821,639,264,241,1833
"YIL011W",268,104,235,127,967,742,478,432,750
"YIL010W",640,477,327,269,2718,2655,930,881,588
"YIL009W",3093,2154,1713,1274,2635,2224,947,574,2025
"YIL008W",216,164,120,77,864,729,293,255,240
"YIL006W",138,90,97,63,90,115,57,41,1062
"YIL005W",994,684,566,474,1982,2024,719,694,2046
"YIL003W",211,111,136,84,299,288,89,100,822
"YIL002W-A",348,303,231,182,1235,1244,622,634,150
"YIL001W",569,389,294,190,552,665,209,231,1482
"YIR003W",769,560,424,455,3012,2802,845,1064,1980
"YIR004W",642,573,441,364,2614,2615,601,561,1239
"YIR005W",138,105,126,81,408,401,143,239,387
"YIR007W",573,424,310,390,1178,1306,463,574,2235
"YIR009W",257,171,166,120,688,701,374,394,276
"YIR010W",453,269,227,185,573,514,191,174,1671
"YIR012W",956,638,561,415,2826,2456,944,731,1236
"YIR014W",113,88,88,101,217,213,140,162,669
"YIR016W",279,174,148,145,64,68,45,95,738
"YIR018W",205,167,163,192,530,495,415,515,678
"YIR021W",398,265,211,149,601,547,115,148,1032
"YIR022W",437,301,223,171,2249,1943,769,770,444
"YIR023W",828,518,422,322,732,723,214,144,2853
"YIR025W",162,133,80,70,408,474,142,121,1047
"YIR028W",51,57,34,16,79,69,73,85,1848
"YIR029W",122,87,82,86,20,27,20,20,972
"YIR033W",1242,874,495,389,1570,1463,271,239,3282
"YIR037W",2072,1442,1423,963,11572,11087,5290,4791,432
"YIR041W",57,36,91,102,19,22,33,93,315
"YJL216C",150,97,55,45,11,10,3,0,1686
"YJL215C",169,113,101,101,15,18,24,34,300
"YJL212C",303,203,143,137,227,202,40,31,2340
"YJL208C",377,266,209,118,807,724,291,243,930
"YJL207C",2672,1715,1574,1041,1152,1115,336,274,5985
"YJL206C",463,310,313,269,427,449,182,204,2217
"YJL205C",82,63,73,43,419,355,191,237,245
"YJL204C",922,577,635,412,1053,1054,339,344,2463
"YJL202C",1,1,1,0,0,0,1,0,288
"YJL200C",2667,1571,1006,623,4473,3568,881,586,2310
"YJL199C",135,94,89,89,289,254,138,225,267
"YJL196C",2200,1506,1348,805,4499,3596,1534,1415,873
"YJL192C",1214,975,604,433,3283,2976,1387,1248,645
"YJL190C",7232,4485,5355,3145,30145,23378,12846,10603,333
"YJL187C",778,504,310,261,517,365,94,65,2400
"YJL185C",271,201,210,177,419,411,220,250,822
"YJL180C",453,342,220,178,1093,1177,284,296,918
"YJL178C",912,717,567,439,2807,2591,1004,1031,756
"YJL176C",1103,868,517,453,2186,1940,485,486,2418
"YJL173C",463,315,180,138,1994,1835,539,528,309
"YJL171C",2505,1838,1638,1397,6518,5824,2175,2358,1131
"YJL170C",107,100,85,89,533,583,266,313,570
"YJL168C",899,620,614,487,1359,1436,326,278,2142
"YJL165C",1263,1001,852,909,2265,2224,876,1081,2508
"YJL164C",1150,964,563,656,2180,2346,705,926,1134
"YJL163C",281,243,269,324,306,384,136,234,1608
"YJL162C",331,257,264,215,489,444,169,133,1692
"YJL160C",61,24,28,23,64,59,33,50,804
"YJL158C",7197,4079,1883,1270,41349,30908,6775,4488,624
"YJL157C",2028,1290,1714,993,1966,1728,878,582,2433
"YJL156C",953,739,743,471,1035,1233,391,337,2040
"YJL155C",659,587,640,601,1086,1223,522,774,1299
"YJL154C",3094,1934,1668,1487,2624,2634,868,877,2775
"YJL153C",303,200,99,127,441,503,24,45,1542
"YJL151C",1214,886,863,842,6175,5891,2759,2780,342
"YJL147C",190,144,138,119,194,174,146,132,1089
"YJL139C",414,273,246,167,642,556,217,234,1227
"YJL138C",13278,7882,6976,4521,40588,34987,11235,8347,1128
"YJL137C",180,137,80,138,533,487,263,341,1083
"YJL136C",3784,2238,3078,2111,21082,16959,10233,9391,664
"YJL133C-A",856,813,474,394,4238,4878,1205,1775,165
"YJL131C",257,234,171,155,879,801,254,281,1011
"YJL130C",10338,6331,3447,2536,17556,14072,2117,1199,6585
"YJL129C",1148,729,529,381,751,701,314,298,3648
"YJL128C",1234,816,562,502,2563,2308,736,798,1947
"YJL127C-B",578,411,538,342,858,915,896,1024,99
"YJL127C",396,269,213,225,473,390,140,137,1863
"YJL125C",392,270,247,144,787,785,286,216,1092
"YJL124C",584,469,350,257,2093,2010,703,649,459
"YJL123C",897,767,582,573,3932,3850,1340,1388,1377
"YJL121C",836,451,306,270,3774,3179,1118,899,657
"YJL119C",61,52,45,23,20,23,34,23,264
"YJL116C",1043,620,648,349,2971,2319,977,505,954
"YJL110C",582,452,602,560,62,43,107,146,1596
"YJL109C",4760,2865,2979,1773,2166,2038,824,467,5250
"YJL108C",649,367,553,363,4,3,2,11,1092
"YJL107C",316,291,299,330,957,945,565,695,1104
"YJL103C",297,213,190,162,297,264,92,118,1797
"YJL101C",797,592,541,490,652,717,296,327,1977
"YJL094C",1179,851,729,469,765,616,258,272,2562
"YJL093C",865,508,575,400,364,306,201,205,2016
"YJL091C",1727,1163,559,270,2190,2057,346,341,1413
"YJL090C",644,358,471,257,299,249,94,78,2235
"YJL087C",757,562,480,275,1434,1442,267,152,2424
"YJL084C",1224,885,851,779,1855,1879,847,875,3081
"YJL081C",773,535,389,317,1068,936,341,350,1410
"YJL080C",5913,3661,1652,1263,21691,17750,1990,1280,3609
"YJL079C",2170,1122,530,422,9904,7573,1514,1125,840
"YJL078C",780,544,1294,1410,3145,3308,2620,2557,2586
"YJL077C",9,5,7,10,18,10,6,7,336
"YJL074C",1111,736,259,177,1809,1417,185,83,3633
"YJL072C",407,277,324,196,832,951,408,474,582
"YJL070C",962,739,709,678,884,1031,374,454,2607
"YJL069C",838,550,479,313,1571,1290,626,486,1725
"YJL068C",1049,770,432,294,5703,5521,1227,1381,840
"YJL066C",577,382,212,251,2470,2690,504,608,699
"YJL065C",348,205,170,144,856,709,344,332,444
"YJL063C",411,347,161,129,2604,2524,612,541,657
"YJL058C",250,209,186,122,354,307,124,136,1572
"YJL057C",742,588,440,632,1091,1199,392,614,1944
"YJL056C",974,637,593,496,1100,918,315,271,2583
"YJL048C",1153,757,1482,1374,1972,2066,1604,2147,1131
"YJL047C-A",15794,9533,16970,14432,47,29,68,67,75
"YJL047C",694,458,375,314,628,642,269,322,2469
"YJL044C",718,564,611,502,659,560,429,450,1317
"YJL039C",4000,2440,2588,1550,2543,2362,906,674,4992
"YJL038C",12,9,18,10,45,52,22,35,600
"YJL035C",411,328,59,32,1258,1149,92,71,693
"YJL031C",562,370,351,251,984,1139,335,387,1011
"YJL029C",937,593,596,557,1007,930,468,376,2409
"YJL027C",2,2,4,1,2,0,0,0,357
"YJL024C",373,292,266,221,1119,1301,697,763,602
"YJL023C",241,191,214,149,305,269,169,222,984
"YJL020C",3096,2140,1090,1234,12818,11449,2392,2959,3414
"YJL015C",1,2,0,0,0,1,1,0,225
"YJL013C",411,329,252,193,572,607,134,162,1488
"YJL012C",1767,1210,772,675,3892,3629,1008,807,2106
"YJL011C",299,226,177,80,1047,1008,281,302,426
"YJL010C",819,562,519,357,1639,1563,577,460,1941
"YJL008C",2597,2108,977,711,5370,4996,1045,891,1647
"YJL006C",432,279,264,172,613,596,290,299,912
"YJL004C",464,338,431,219,704,688,425,412,552
"YJL002C",2785,1832,1096,698,4623,3967,1142,929,1371
"YJR003C",491,396,367,244,462,429,217,188,1500
"YJR004C",313,203,271,221,12,20,23,18,1893
"YJR009C",85998,59151,13178,10804,463756,463267,64552,54993,939
"YJR010C-A",331,234,198,119,1167,1114,425,438,225
"YJR011C",215,135,122,87,320,274,99,91,726
"YJR012C",138,87,99,54,257,280,106,109,564
"YJR016C",2502,1556,1167,863,5528,4230,1781,1300,1698
"YJR017C",611,405,295,308,2723,2355,1127,1104,453
"YJR019C",217,147,84,95,779,742,250,279,990
"YJR021C",153,163,126,129,369,359,213,317,965
"YJR025C",1090,845,388,286,6363,6110,1026,933,474
"YJR030C",877,510,265,211,873,680,133,230,2178
"YJR031C",1316,826,717,407,938,667,263,171,4167
"YJR033C",1508,1054,715,723,1427,1421,546,502,4014
"YJR036C",290,241,249,204,84,107,53,53,2619
"YJR041C",1544,949,955,587,1195,1043,376,262,3465
"YJR043C",319,217,146,69,698,625,135,125,993
"YJR044C",750,543,571,356,1969,1873,1014,1312,363
"YJR045C",26849,19988,2996,2790,140468,127783,6852,6446,1905
"YJR047C",78,126,84,77,8122,8661,2083,1677,414
"YJR049C",691,514,335,352,1221,1252,354,348,1533
"YJR056C",350,271,195,178,1047,987,566,545,651
"YJR058C",373,266,357,292,751,668,317,316,384
"YJR062C",703,512,558,434,718,682,362,370,1314
"YJR065C",2674,1876,1158,1185,8606,8227,2779,2852,1290
"YJR067C",178,117,116,85,448,400,201,200,366
"YJR069C",637,442,296,196,2649,2433,766,562,534
"YJR070C",1377,870,515,377,7066,5139,1303,787,918
"YJR072C",647,491,297,310,2508,2349,621,501,1098
"YJR073C",2081,1589,1040,1036,8619,8176,3072,3149,561
"YJR076C",930,668,470,369,2303,2282,599,477,1188
"YJR077C",2502,1523,856,581,11464,9008,2799,2273,876
"YJR080C",776,539,304,248,1797,1786,384,362,1125
"YJR082C",325,254,257,214,768,806,344,354,282
"YJR083C",214,173,134,136,650,716,290,420,870
"YJR085C",1183,933,703,490,5942,5043,2517,2444,258
"YJR088C",742,581,539,344,1790,1800,645,592,819
"YJR090C",1891,1364,973,802,1237,1307,529,441,3396
"YJR091C",2039,1309,1053,1199,3399,3547,1122,1345,3216
"YJR093C",434,284,259,288,1714,1627,749,843,924
"YJR094C",88,62,89,68,149,209,102,162,1023
"YJR098C",280,178,162,143,314,341,111,138,1911
"YJR100C",471,354,264,268,716,717,290,321,924
"YJR102C",263,206,220,204,699,749,348,413,549
"YJR104C",10593,7358,3589,3605,81474,63826,18252,18691,405
"YJR109C",2666,1823,1061,802,5041,4816,760,592,3297
"YJR111C",296,173,185,158,671,617,261,253,792
"YJR113C",776,489,271,211,2728,2710,506,495,684
"YJR118C",457,383,266,112,1113,1095,235,194,552
"YJR119C",531,364,275,216,512,543,128,201,2127
"YJR124C",394,261,266,176,433,335,222,249,1287
"YJR125C",1327,997,615,581,7242,7116,1430,1603,1167
"YJR126C",834,571,403,393,692,762,297,324,2376
"YJR127C",1258,747,915,1017,947,885,537,661,4083
"YJR129C",146,107,61,44,210,189,68,67,960
"YJR130C",419,354,223,244,503,546,219,195,1860
"YJR134C",534,463,349,314,1113,1116,315,371,2064
"YJR135C",165,107,112,72,253,230,84,97,660
"YJR136C",377,249,268,186,291,297,152,137,1206
"YJR137C",1749,1197,891,695,1077,1033,241,218,4269
"YJR139C",4729,3252,2219,1301,15697,13321,4195,3551,1020
"YJR140C",1663,1068,775,505,999,822,552,474,4887
"YJR143C",2957,1744,1088,676,4004,3130,888,664,2229
"YJR145C",17409,10127,10913,8725,70328,57837,35553,28386,982
"YJR150C",2,1,0,3,6,1,2,5,837
"YJR151C",1029,575,440,429,58,79,14,14,3426
"YJR156C",414,241,178,142,1209,1197,383,357,963
"YJR161C",2454,1795,1937,1384,4928,4532,2058,2297,1092
"YJL218W",115,75,76,80,410,388,193,259,531
"YJL217W",882,734,661,464,3716,3942,1337,1261,537
"YJL214W",92,54,61,32,124,110,88,80,1650
"YJL213W",104,86,204,181,2,6,5,3,936
"YJL210W",394,240,303,333,353,293,123,170,756
"YJL209W",568,390,356,262,334,360,249,257,1905
"YJL203W",243,179,193,163,832,931,359,380,783
"YJL201W",955,607,429,267,1051,969,242,306,1740
"YJL198W",1311,776,709,496,1637,1443,736,641,2586
"YJL197W",1752,1237,825,623,1699,1539,310,259,3705
"YJL194W",949,556,444,278,891,875,281,245,1482
"YJL193W",490,306,285,190,440,439,166,141,1149
"YJL191W",3259,2246,2903,2349,16824,14649,8445,8262,765
"YJL189W",3606,2436,3804,2632,22993,22512,16652,16787,482
"YJL186W",1855,1341,1043,724,3817,3409,973,842,1701
"YJL184W",185,174,102,88,1285,1174,433,403,312
"YJL183W",1200,880,587,351,2094,1848,640,524,1209
"YJL181W",630,440,453,350,319,374,181,231,1776
"YJL179W",415,376,312,182,1494,1548,638,568,270
"YJL177W",4139,2757,3181,2275,25744,20753,10541,8705,812
"YJL175W",15,8,6,7,3,8,6,8,453
"YJL174W",2300,1355,1335,1014,6647,6123,2616,2835,771
"YJL172W",6025,4036,1388,1185,14624,13640,1846,1431,1671
"YJL167W",3580,2561,1971,1594,16987,16073,4031,3311,999
"YJL166W",1314,912,1209,826,5165,5153,3659,4142,225
"YJL161W",378,323,485,533,1237,1527,1039,1729,483
"YJL159W",38184,25039,22158,22002,243606,224454,77140,79363,1182
"YJL152W",76,61,36,22,25,33,35,35,300
"YJL150W",69,58,58,56,214,280,285,399,243
"YJL149W",977,652,568,574,1529,1700,619,630,1932
"YJL148W",790,530,607,413,1636,1392,686,607,642
"YJL146W",424,308,269,237,795,730,346,370,1350
"YJL145W",468,348,258,164,1779,1612,430,410,825
"YJL144W",212,171,82,123,851,850,143,304,255
"YJL143W",616,437,279,180,2705,2135,676,530,417
"YJL140W",887,677,540,452,2644,2679,852,1011,606
"YJL136W-A",0,0,0,0,2,0,0,0,24
"YJL134W",559,360,379,256,1151,1038,396,337,1170
"YJL133W",501,325,306,188,761,717,226,274,885
"YJL132W",302,241,284,274,206,252,118,178,2193
"YJL126W",203,154,155,112,398,324,128,160,864
"YJL122W",330,257,310,179,1095,907,437,397,468
"YJL118W",119,65,58,30,128,121,70,67,600
"YJL117W",669,519,347,262,2544,2641,470,471,876
"YJL115W",308,293,157,98,1775,1537,418,275,780
"YJL112W",746,596,506,480,590,580,153,153,2085
"YJL111W",2234,1716,992,688,5368,5037,1328,1104,1593
"YJL106W",176,149,228,211,47,71,88,163,1878
"YJL104W",492,362,281,229,2129,2105,711,684,390
"YJL102W",424,303,116,75,533,475,47,45,2400
"YJL100W",476,302,341,367,624,680,348,446,1764
"YJL099W",662,497,493,495,832,795,511,548,2181
"YJL098W",1274,977,789,595,1172,925,397,256,3117
"YJL097W",915,577,334,211,2729,2169,636,503,594
"YJL096W",415,275,181,124,1554,1604,348,452,426
"YJL095W",971,610,347,276,669,629,123,118,4377
"YJL092W",705,477,289,163,330,270,59,18,3465
"YJL088W",1359,977,781,588,3550,3442,1002,913,957
"YJL085W",701,583,619,468,1211,1295,595,642,1812
"YJL083W",449,293,211,179,505,502,140,154,1755
"YJL082W",1171,933,539,537,1820,1748,353,424,2136
"YJL077W-B",466,269,172,141,5,9,16,9,39
"YJL077W-A",60,49,28,36,31,29,57,41,27
"YJL076W",2359,1537,1025,806,3885,3193,735,514,3510
"YJL073W",1449,939,187,152,3315,3251,141,133,1878
"YJL071W",531,350,242,189,615,634,152,165,1665
"YJL062W-A",709,470,234,176,3661,3515,760,795,198
"YJL062W",1097,681,372,291,1831,1527,351,262,2433
"YJL061W",1488,1011,876,560,1528,1438,489,482,2082
"YJL060W",705,490,274,225,2143,2134,490,612,1275
"YJL059W",435,297,311,194,432,403,214,224,1167
"YJL055W",983,830,893,721,4268,4286,1666,1436,678
"YJL054W",777,533,334,279,1385,1220,302,275,1377
"YJL053W",712,480,337,340,1813,1962,578,747,1080
"YJL052W",32483,23613,5894,5185,225950,216170,38417,33277,939
"YJL051W",410,216,158,68,433,342,131,69,2409
"YJL050W",1679,1100,866,505,2742,2029,639,351,3162
"YJL049W",474,332,390,319,639,666,322,382,1293
"YJL046W",422,372,232,156,492,536,168,146,1170
"YJL045W",153,125,64,48,358,430,81,98,1845
"YJL043W",32,22,10,15,52,56,49,54,714
"YJL042W",2487,1518,836,837,4059,3498,698,713,4137
"YJL041W",2069,1529,800,715,9435,8019,1646,1378,2530
"YJL037W",83,47,35,32,124,145,157,145,615
"YJL036W",641,505,444,437,1771,1870,550,703,1212
"YJL034W",39658,28403,1632,1319,97666,84198,1973,1777,1989
"YJL033W",542,349,340,270,1293,1049,493,299,2253
"YJL030W",287,225,213,183,854,913,368,451,531
"YJL028W",32,23,32,16,35,39,84,93,276
"YJL026W",2521,1777,825,712,11057,10254,1963,1894,1140
"YJL025W",452,243,250,262,129,129,90,54,1485
"YJL022W",57,38,24,39,23,25,28,37,249
"YJL019W",518,362,177,157,668,605,134,114,1989
"YJL016W",2241,1529,1353,1374,2369,2646,960,1110,1626
"YJL014W",1857,1479,801,636,5836,4934,1171,988,1545
"YJL005W",3562,2427,2443,2339,2654,2541,976,1090,6021
"YJL003W",228,211,177,117,779,853,343,409,297
"YJL001W",1543,1196,619,448,7075,7113,1917,1885,704
"YJR001W",1638,1050,905,792,2766,2266,1141,1099,1749
"YJR002W",985,676,501,413,1380,1138,505,432,1722
"YJR005W",1090,857,629,435,993,1148,287,258,2043
"YJR006W",616,391,356,305,851,831,303,327,1404
"YJR007W",2016,1514,1380,879,6611,6402,2582,2305,855
"YJR008W",507,447,468,588,1165,1338,602,1167,957
"YJR010W",392,229,231,163,177,170,36,38,1476
"YJR013W",522,373,350,224,931,909,350,353,1152
"YJR014W",635,613,553,501,5769,5522,2650,2623,537
"YJR015W",1369,874,735,531,3216,2873,784,668,1473
"YJR018W",14,0,4,3,2,2,3,7,303
"YJR020W",53,27,21,26,7,3,2,6,273
"YJR032W",578,430,352,251,1635,1523,486,445,1122
"YJR034W",174,158,81,86,1220,1202,354,351,267
"YJR035W",563,463,360,357,516,474,166,172,3198
"YJR039W",496,393,426,470,214,252,60,43,3306
"YJR040W",1176,753,444,401,1417,1315,412,404,2280
"YJR042W",1333,1028,795,659,1945,1651,649,583,2175
"YJR046W",1095,711,240,233,1613,1397,205,157,1755
"YJR048W",1019,694,1160,745,5312,4651,3604,3205,270
"YJR050W",279,215,191,181,781,798,336,443,648
"YJR051W",682,496,406,315,1532,1569,402,418,1446
"YJR052W",595,428,551,438,891,862,472,494,1638
"YJR053W",269,157,113,89,324,279,102,63,1665
"YJR054W",714,466,312,184,421,409,64,65,1434
"YJR055W",277,169,107,74,363,315,79,81,435
"YJR057W",289,183,129,88,701,645,169,170,591
"YJR059W",1670,1277,936,1298,3694,3611,1066,1135,2397
"YJR060W",888,645,433,342,4173,3799,898,915,996
"YJR061W",468,334,240,234,213,212,71,66,2748
"YJR063W",418,285,302,172,1534,1201,595,469,318
"YJR064W",3251,2310,1402,1065,8096,7011,1710,1415,1629
"YJR066W",3052,1897,1476,1289,1753,1562,510,462,7353
"YJR068W",621,448,442,315,1610,1564,478,452,1002
"YJR074W",522,359,256,228,2623,2377,782,819,597
"YJR075W",1222,864,591,486,2498,2221,709,717,1131
"YJR078W",748,479,127,124,2786,2753,329,438,1302
"YJR079W",70,57,16,19,11,9,2,12,975
"YJR084W",323,276,235,217,597,602,317,281,1212
"YJR089W",620,421,356,284,535,478,186,121,2805
"YJR092W",1438,992,509,348,2873,2519,438,275,4284
"YJR094W-A",4773,3163,4072,2394,16718,13611,8230,7301,494
"YJR095W",41,42,75,49,124,119,168,164,909
"YJR096W",1388,1280,1598,1480,5310,6551,2996,3778,789
"YJR097W",176,125,80,51,467,385,86,68,459
"YJR099W",329,275,224,166,1267,1055,453,463,651
"YJR101W",926,640,494,311,1823,1717,503,496,741
"YJR103W",801,608,268,300,2196,2132,496,515,1677
"YJR105W",4228,2551,2359,1816,16419,13282,5246,4571,963
"YJR106W",732,468,291,187,508,476,123,91,2118
"YJR107W",269,174,102,72,4,3,2,2,927
"YJR108W",186,122,99,54,143,144,137,185,312
"YJR110W",544,375,443,266,314,263,128,167,2007
"YJR112W",157,109,66,64,558,449,271,261,546
"YJR112W-A",145,100,72,71,171,184,89,69,319
"YJR115W",100,52,48,59,139,173,53,126,450
"YJR116W",282,141,92,75,547,498,194,192,780
"YJR117W",2415,1577,546,400,6076,5578,814,768,1302
"YJR120W",465,323,212,164,745,1084,1344,1531,291
"YJR121W",8340,5406,3206,2730,23320,19007,5278,4607,1476
"YJR122W",550,367,212,157,684,733,138,114,1434
"YJR123W",14944,9392,12594,8794,56928,48606,34045,28697,618
"YJR131W",651,520,312,253,1459,1275,285,217,1590
"YJR132W",1654,1096,958,680,1449,1384,473,408,3087
"YJR133W",484,396,284,174,1709,1736,439,514,570
"YJR135W-A",391,268,161,115,1311,1181,315,278,204
"YJR138W",1285,938,782,639,727,700,257,248,4695
"YJR141W",409,235,200,117,194,180,81,87,984
"YJR142W",662,482,445,330,1471,1432,662,680,969
"YJR144W",660,438,349,284,2048,1814,670,698,750
"YJR147W",250,130,126,111,98,70,48,26,1017
"YJR148W",941,705,363,426,4417,4536,1043,1030,1071
"YJR149W",365,283,317,276,535,626,254,317,1155
